Country or Area,Year,Subgroup,Value
Afghanistan,2000,Female,12.6
Afghanistan,2000,Male,43.1
Albania,2001,Female,98.3
Albania,2001,Male,99.2
Algeria,2002,Female,60.1
Algeria,1987,Female,35.8
Algeria,2002,Male,79.6
Algeria,1987,Male,63.4
Angola,2001,Female,54.2
Angola,2001,Male,82.9
Argentina,2001,Female,97.2
Argentina,1991,Female,96
Argentina,2001,Male,97.2
Argentina,1991,Male,96.2
Armenia,2001,Female,99.2
Armenia,1989,Female,98.2
Armenia,2001,Male,99.7
Armenia,1989,Male,99.4
Aruba,2000,Female,97.1
Aruba,2000,Male,97.5
Azerbaijan,1999,Female,98.2
Azerbaijan,1999,Male,99.5
Bahrain,2001,Female,83.6
Bahrain,1991,Female,76.9
Bahrain,2001,Male,88.6
Bahrain,1991,Male,88.5
Bangladesh,2001,Female,40.8
Bangladesh,1991,Female,25.8
Bangladesh,2001,Male,53.9
Bangladesh,1991,Male,44.3
Belarus,1999,Female,99.4
Belarus,1989,Female,96.6
Belarus,1999,Male,99.8
Belarus,1989,Male,99.4
Belize,1991,Female,70.3
Belize,1991,Male,70.3
Benin,2002,Female,23.3
Benin,1992,Female,16.6
Benin,2002,Male,47.9
Benin,1992,Male,39.9
Bolivia,2001,Female,80.7
Bolivia,1992,Female,72.3
Bolivia,2001,Male,93.1
Bolivia,1992,Male,88.2
Bosnia and Herzegovina,2000,Female,94.4
Bosnia and Herzegovina,2000,Male,99
Botswana,2003,Female,81.8
Botswana,1991,Female,71.3
Botswana,2003,Male,80.4
Botswana,1991,Male,65.4
Brazil,2004,Female,88.8
Brazil,2000,Female,86.5
Brazil,2004,Male,88.4
Brazil,2000,Male,86.2
Brunei,2001,Female,90.2
Brunei,1991,Female,82.5
Brunei,2001,Male,95.2
Brunei,1991,Male,92.5
Bulgaria,2001,Female,97.7
Bulgaria,2001,Male,98.7
Burkina Faso,2005,Female,16.6
Burkina Faso,2003,Female,15.2
Burkina Faso,1996,Female,8.1
Burkina Faso,1991,Female,8.2
Burkina Faso,2005,Male,31.4
Burkina Faso,2003,Male,29.4
Burkina Faso,1996,Male,18.5
Burkina Faso,1991,Male,19.6
Burundi,2000,Female,52.2
Burundi,1990,Female,27.5
Burundi,2000,Male,67.3
Burundi,1990,Male,48.2
Cambodia,2004,Female,64.1
Cambodia,1998,Female,57
Cambodia,2004,Male,84.7
Cambodia,1998,Male,79.5
Cameroon,2001,Female,59.8
Cameroon,2001,Male,77
Cape Verde,2004,Female,75.5
Cape Verde,1990,Female,53
Cape Verde,2004,Male,87.8
Cape Verde,1990,Male,74.8
Central African Republic,2000,Female,33.5
Central African Republic,1988,Female,20.3
Central African Republic,2000,Male,64.8
Central African Republic,1988,Male,48
Chad,2000,Female,12.8
Chad,2000,Male,40.8
Chile,2002,Female,95.6
Chile,1992,Female,94
Chile,2002,Male,95.8
Chile,1992,Male,94.6
China,2000,Female,86.5
China,1990,Female,68.1
China,2000,Male,95.1
China,1990,Male,87
Colombia,2005,Female,92.9
Colombia,2004,Female,92.7
Colombia,1996,Female,91.3
Colombia,1993,Female,81.2
Colombia,2005,Male,92.8
Colombia,2004,Male,92.9
Colombia,1996,Male,91.1
Colombia,1993,Male,81.5
Congo,2004,Female,79
Congo,1994,Female,65.4
Congo,2004,Male,90.5
Congo,1994,Male,82.6
Congo Dem. Rep.,2001,Female,54.1
Congo Dem. Rep.,2001,Male,80.9
Costa Rica,2000,Female,95.1
