Country or Area,Year,Age of mother,Value
Ã…land Islands,2011,Total,285
Ã…land Islands,2011,0 - 14,0
Ã…land Islands,2011,15 - 19,4
Ã…land Islands,2011,20 - 24,28
Ã…land Islands,2011,25 - 29,80
Ã…land Islands,2011,30 - 34,107
Ã…land Islands,2011,35 - 39,53
Ã…land Islands,2011,40 - 44,13
Ã…land Islands,2011,45 - 49,0
Ã…land Islands,2011,50 +,0
Ã…land Islands,2010,Total,286
Ã…land Islands,2010,0 - 14,0
Ã…land Islands,2010,15 - 19,6
Ã…land Islands,2010,20 - 24,38
Ã…land Islands,2010,25 - 29,92
Ã…land Islands,2010,30 - 34,89
Ã…land Islands,2010,35 - 39,52
Ã…land Islands,2010,40 - 44,9
Ã…land Islands,2010,45 - 49,0
Ã…land Islands,2010,50 +,0
Ã…land Islands,2009,Total,267
Ã…land Islands,2009,0 - 14,0
Ã…land Islands,2009,15 - 19,1
Ã…land Islands,2009,20 - 24,25
Ã…land Islands,2009,25 - 29,73
Ã…land Islands,2009,30 - 34,99
Ã…land Islands,2009,35 - 39,55
Ã…land Islands,2009,40 - 44,14
Ã…land Islands,2009,45 - 49,0
Ã…land Islands,2009,50 +,0
Ã…land Islands,2008,Total,294
Ã…land Islands,2008,0 - 14,0
Ã…land Islands,2008,15 - 19,4
Ã…land Islands,2008,20 - 24,31
Ã…land Islands,2008,25 - 29,88
Ã…land Islands,2008,30 - 34,91
Ã…land Islands,2008,35 - 39,65
Ã…land Islands,2008,40 - 44,14
Ã…land Islands,2008,45 - 49,1
Ã…land Islands,2008,50 +,0
Ã…land Islands,2007,Total,286
Ã…land Islands,2007,0 - 14,0
Ã…land Islands,2007,15 - 19,5
Ã…land Islands,2007,20 - 24,31
Ã…land Islands,2007,25 - 29,79
Ã…land Islands,2007,30 - 34,117
Ã…land Islands,2007,35 - 39,40
Ã…land Islands,2007,40 - 44,14
Ã…land Islands,2007,45 - 49,0
Ã…land Islands,2007,50 +,0
Ã…land Islands,2006,Total,295
Ã…land Islands,2006,0 - 14,0
Ã…land Islands,2006,0 - 19,5
Ã…land Islands,2006,15 - 19,5
Ã…land Islands,2006,20 - 24,26
Ã…land Islands,2006,25 - 29,88
Ã…land Islands,2006,30 - 34,102
Ã…land Islands,2006,35 - 39,59
Ã…land Islands,2006,40 - 44,14
Ã…land Islands,2006,40 +,15
Ã…land Islands,2006,45 - 49,1
Ã…land Islands,2006,50 +,0
Ã…land Islands,2005,Total,268
Ã…land Islands,2005,0 - 19,5
Ã…land Islands,2005,20 - 24,37
Ã…land Islands,2005,25 - 29,74
Ã…land Islands,2005,30 - 34,94
Ã…land Islands,2005,35 - 39,44
Ã…land Islands,2005,40 +,14
Ã…land Islands,2004,Total,281
Ã…land Islands,2004,0 - 19,3
Ã…land Islands,2004,20 - 24,32
Ã…land Islands,2004,25 - 29,66
Ã…land Islands,2004,30 - 34,99
Ã…land Islands,2004,35 - 39,64
Ã…land Islands,2004,40 +,17
Ã…land Islands,2003,Total,262
Ã…land Islands,2003,0 - 19,3
Ã…land Islands,2003,20 - 24,30
Ã…land Islands,2003,25 - 29,74
Ã…land Islands,2003,30 - 34,101
Ã…land Islands,2003,35 - 39,50
Ã…land Islands,2003,40 +,4
Ã…land Islands,2002,Total,269
Ã…land Islands,2002,0 - 19,3
Ã…land Islands,2002,20 - 24,31
Ã…land Islands,2002,25 - 29,78
Ã…land Islands,2002,30 - 34,90
Ã…land Islands,2002,35 - 39,60
Ã…land Islands,2002,40 +,7
Ã…land Islands,2001,Total,283
Ã…land Islands,2001,0 - 19,4
Ã…land Islands,2001,20 - 24,33
Ã…land Islands,2001,25 - 29,86
Ã…land Islands,2001,30 - 34,104
Ã…land Islands,2001,35 - 39,43
Ã…land Islands,2001,40 +,13
Ã…land Islands,2000,Total,257
Ã…land Islands,2000,0 - 19,5
Ã…land Islands,2000,20 - 24,23
