Afghanistan,1974,1.6,1.6
Afghanistan,2000,4.9,3.6
Afghanistan,2003,10.3,8.7
Afghanistan,2005,13.6,12.5
Afghanistan,2006,18.6,15.5
Afghanistan,2008,22.8,15.2
Afghanistan,2010,21.8,16.3
Albania,2000,57.5,15.3
Albania,2002,75.1,8
Albania,2005,60.1,22.4
Albania,2009,69.3,10.2
Algeria,1987,35.8,31.3
Algeria,1992,50.9,43.2
Algeria,1995,56.9,49.4
Algeria,2000,64,50.1
Algeria,2002,57,51.8
Algeria,2006,61.4,52
Angola,1996,8.1,4.1
Angola,2001,6.2,4.5
Anguilla,2003,43,40.8
Antigua and Barbuda,1981,48.2,44.6
Antigua and Barbuda,1988,52.6,50.6
Argentina,2001,65.3,63.8
Argentina,2005,78.9,69.9
Armenia,1991,56,25.2
Armenia,2000,60.5,20.4
Armenia,2005,53.1,19.1
Armenia,2010,54.9,26.5
Australia,1986,76.1,72.2
Australia,1995,66.7,63.9
Australia,2002,70.8,70.8
Australia,2005,72.3,68.1
Austria,1996,50.9,46.8
Azerbaijan,2000,55.1,15.8
Azerbaijan,2001,55.4,11.9
Azerbaijan,2006,51.1,13.2
Bahamas,1988,61.7,60.1
Bahrain,1989,53.8,30.3
Bahrain,1995,61.8,30.6
Bangladesh,1976,7.7,5
Bangladesh,1979,12.7,8.9
Bangladesh,1981,18.6,11
Bangladesh,1984,19.1,13.7
Bangladesh,1986,25.3,18.4
Bangladesh,1989,31.4,24.4
Bangladesh,1989,30.8,23.2
Bangladesh,1991,39.9,31.2
Bangladesh,1994,44.6,36.2
Bangladesh,1997,49.2,41.6
Bangladesh,2000,53.8,43.4
Bangladesh,2004,58.1,47.3
Bangladesh,2007,55.8,47.5
Bangladesh,2012,61.2,52.1
Barbados,1981,46.5,44.7
Barbados,1988,55,53.3
Belarus,1995,50.4,42.1
Belarus,2005,72.6,56
Belgium,1966,72,10.8
Belgium,1976,87,47.9
Belgium,1982,81,63.2
Belgium,1992,78.4,74.3
Belgium,1997,56.5,54.8
Belgium,2001,75.6,74
Belgium,2004,74.6,72.9
Belize,1991,46.7,41.8
Belize,1999,56.1,49.3
Belize,2006,34.3,31.2
Benin,1982,6.6,0.7
Benin,1996,16.4,3.4
Benin,2001,18.6,6.8
Benin,2006,17,5.9
Bhutan,1994,18.8,18.8
Bhutan,2000,30.7,30.7
Bhutan,2007,..,35.4
Bhutan,2010,65.6,65.4
Bolivia (Plurinational State of),1983,23.6,9.9
Bolivia (Plurinational State of),1989,30.3,12.2
Bolivia (Plurinational State of),1994,45.3,17.7
Bolivia (Plurinational State of),1998,48.3,25.2
Bolivia (Plurinational State of),2000,53.4,27.3
Bolivia (Plurinational State of),2004,58.4,32.4
Bolivia (Plurinational State of),2008,60.5,33.8
Bosnia and Herzegovina,1970,42.9,3.1
Bosnia and Herzegovina,2000,47.5,15.7
Bosnia and Herzegovina,2006,35.7,11.2
Botswana,1984,27.8,18.6
Botswana,1988,33,31.7
Botswana,1996,41.7,..
Botswana,2000,44.4,42.1
Botswana,2008,52.8,51.2
Brazil,1986,65.8,56.7
Brazil,1996,76.7,70.3
Brazil,2006,80.3,77.1
Bulgaria,1976,75,6
Bulgaria,1995,85.9,45.6
Bulgaria,1998,63.4,39.6
Burkina Faso,1993,7.9,4.2
Burkina Faso,1999,11.9,4.8
Burkina Faso,2003,13.8,8.6
Burkina Faso,2006,17.4,13.3
Burkina Faso,2011,16.2,14.9
Burundi,1987,8.7,1.2
Burundi,2000,15.7,10
Burundi,2002,19.7,8.5
Burundi,2005,9.1,7.5
Burundi,2011,21.9,17.7
Cambodia,1995,12.6,6.9
Cambodia,1998,21.8,16.1
Cambodia,2000,23.8,18.5
Cambodia,2005,40,27.1
Cambodia,2011,50.5,34.9
Cameroon,1978,2.4,0.6
Cameroon,1991,16.1,4.3
Cameroon,1998,19.3,7.1
Cameroon,2000,25.6,6.3
Cameroon,2004,26,12.5
Cameroon,2006,29.2,12
Cameroon,2011,23.4,14.1
Canada,1984,73.1,69.7
Canada,1995,74.7,73.3
Canada,1998,80,76
Canada,2002,74,72
Cape Verde,1989,23.8,19
Cape Verde,1998,52.9,46
Cape Verde,2005,61.3,57.1
Central African Republic,1995,14.8,3.3
Central African Republic,2000,27.9,6.9
Central African Republic,2006,19,8.6
Chad,1997,4.1,1.2
Chad,2000,7.9,2.1
Chad,2004,2.8,1.7
Chile,2001,60.7,57.9
Chile,2006,64.2,..
China,1982,69.5,66.7
China,1988,71.1,69.9
China,1992,84.6,83.7
China,1997,83.8,83.3
China,2001,86.9,86.2
China,2006,84.6,84
"China, Hong Kong SAR",1967,42,..
"China, Hong Kong SAR",1972,49.6,43.3
"China, Hong Kong SAR",1977,71.9,64
"China, Hong Kong SAR",1982,72.3,63.9
"China, Hong Kong SAR",1987,80.8,75
"China, Hong Kong SAR",1992,86.2,79.7
"China, Hong Kong SAR",1997,86,80.9
"China, Hong Kong SAR",2002,86.2,81.3
"China, Hong Kong SAR",2007,79.5,75.4
Colombia,1969,20.5,8.9
Colombia,1976,42.5,30.4
Colombia,1978,46.1,37.3
Colombia,1980,48.5,41
Colombia,1986,64.8,52.5
Colombia,1990,66.1,54.7
Colombia,1995,72.2,59.3
Colombia,2000,76.9,63.3
Colombia,2005,78.2,67.6
Colombia,2010,79.1,72.7
Comoros,1996,21,11.4
Comoros,2000,25.7,19.3
Congo,2005,44.3,12.7
Congo,2012,44.7,20
Cook Islands,1996,63.2,60.4
Cook Islands,1999,43.2,38.2
Costa Rica,1976,64.4,53.5
Costa Rica,1978,63.8,54.9
Costa Rica,1981,65.2,55.9
Costa Rica,1986,69.5,58.2
Costa Rica,1993,75,64.6
Costa Rica,1999,80,71.5
Costa Rica,2009,81.1,76.4
Costa Rica,2010,82.2,79.9
Cote d'Ivoire,1981,2.9,0.5
Cote d'Ivoire,1994,11.4,4.3
Cote d'Ivoire,1999,15,7.3
Cote d'Ivoire,2006,12.9,8
Croatia,1970,58,7
Cuba,1987,70,67
Cuba,2000,73.3,72.1
Cuba,2006,72.6,71.6
Czech Republic,1970,66,24.3
Czech Republic,1977,95,49.3
Czech Republic,1991,78,53
Czech Republic,1993,68.9,44.9
Czech Republic,1997,72,62.6
Democratic People's Republic of Korea,1992,61.9,53
Democratic People's Republic of Korea,1997,67.3,55.8
Democratic People's Republic of Korea,2002,68.6,58.2
Democratic Republic of the Congo,1984,25.8,4.4
Democratic Republic of the Congo,1991,7.7,2.3
Democratic Republic of the Congo,2001,31.4,4.4
Democratic Republic of the Congo,2007,20.6,5.8
Democratic Republic of the Congo,2010,17.7,5.5
Denmark,1970,67,54
Denmark,1975,63,59.9
Denmark,1988,78,72
Djibouti,2002,9,5.8
Djibouti,2006,17.8,17.1
Dominica,1982,62.3,57.5
Dominica,1987,49.8,47.9
Dominican Republic,1975,31.8,26
Dominican Republic,1980,42,35
Dominican Republic,1983,45.8,41.8
Dominican Republic,1986,50,46.7
Dominican Republic,1991,56.4,51.7
Dominican Republic,1996,63.7,59.2
Dominican Republic,1999,69.2,64.2
Dominican Republic,2000,64.7,62.5
Dominican Republic,2002,69.8,65.4
Dominican Republic,2006,61.3,60
Dominican Republic,2007,72.9,69.5
Ecuador,1980,33.6,25.8
Ecuador,1982,39.9,32.9
Ecuador,1987,44.3,35.8
Ecuador,1989,52.9,41.6
Ecuador,1994,56.8,45.9
Ecuador,1999,65.8,51.4
Ecuador,2004,72.7,58.7
Egypt,1975,24.9,22.4
Egypt,1980,31.4,29.7
Egypt,1984,30.3,28.7
Egypt,1988,37.8,35.4
Egypt,1991,47.6,44.3
Egypt,1992,47.1,44.8
Egypt,1995,47.9,45.5
Egypt,1995,54.5,51.8
Egypt,1998,51.7,49.5
Egypt,2000,56.1,53.9
Egypt,2003,60,56.6
Egypt,2005,59.2,56.5
Egypt,2008,60.3,57.6
El Salvador,1975,21.6,20
El Salvador,1978,34.4,32.3
El Salvador,1985,47.3,44.5
El Salvador,1988,47.1,43.5
El Salvador,1993,53.3,48.4
El Salvador,1998,59.7,54.1
El Salvador,2003,67.3,61
El Salvador,2008,72.5,65.9
Equatorial Guinea,2000,10.1,6.1
Eritrea,1995,8,4
Eritrea,2002,8,5.1
Estonia,1994,70.3,56.4
Ethiopia,1990,4.8,2.9
Ethiopia,1997,3.3,2.8
Ethiopia,2000,8.1,6.3
Ethiopia,2005,14.7,13.7
Ethiopia,2011,28.6,27.3
Fiji,1974,40.9,35.1
Finland,1971,77,53.9
Finland,1977,80,77.2
Finland,1990,77.4,75.4
France,1972,64,20.9
France,1978,78.7,47.6
France,1988,81.2,66.6
France,1994,74.5,69.3
France,2000,81.8,76.5
France,2005,76.6,74.8
Gabon,2000,32.7,11.8
Gambia,1990,11.8,6.7
Gambia,2000,9.5,8.7
Gambia,2001,17.5,12.7
Georgia,2000,40.5,19.8
Georgia,2005,47.3,26.6
Germany,1985,77.9,67.6
Germany,1992,70.1,65.6
Ghana,1980,9.5,5.5
Ghana,1988,12.9,5.2
Ghana,1992,17.2,7.2
Ghana,1993,20.3,10.1
Ghana,1999,15,10.6
Ghana,1999,22,12.8
Ghana,2003,25.2,18.4
Ghana,2006,24.2,15.7
Ghana,2006,16.6,13.6
Ghana,2008,23.5,16.6
Greece,1983,77.2,31.6
Greece,1999,61.3,33.6
Greece,2001,76.2,45.9
Grenada,1985,31,27.3
Grenada,1990,54.3,52.1
Guadeloupe,1976,29.4,21.1
Guam,2002,66.6,58.3
Guatemala,1978,18.1,15.2
Guatemala,1983,25,20.6
Guatemala,1987,23.2,19.1
Guatemala,1995,31.4,26.9
Guatemala,1999,38.2,30.9
Guatemala,2002,43.3,34.4
Guinea,1993,1.7,1
Guinea,1999,6.2,4.2
Guinea,2005,9.1,4
Guinea-Bissau,2000,7.6,3.6
Guinea-Bissau,2006,10.3,6.1
Guinea-Bissau,2010,14,..
Guyana,1975,29.5,23.4
Guyana,1992,38.2,36.9
Guyana,2000,37.3,36
Guyana,2005,34.6,33.5
Guyana,2006,34.2,32.7
Guyana,2009,42.5,39.8
Haiti,1977,18.9,5.4
Haiti,1983,6.9,3.9
Haiti,1987,6.7,5
Haiti,1989,10.2,9.4
Haiti,1995,18,13.2
Haiti,2000,28.1,22.3
Haiti,2006,32,23.6
Honduras,1981,26.9,23.6
Honduras,1984,34.9,30.4
Honduras,1987,40.6,32.9
Honduras,1992,46.7,34.7
Honduras,1996,50,41
Honduras,2001,61.8,51
Honduras,2006,65.2,56.1
Hungary,1958,58,18
Hungary,1966,66.6,18.5
Hungary,1969,67,31
Hungary,1972,73,40
Hungary,1974,74,44
Hungary,1975,76,52
Hungary,1977,73.1,52.2
Hungary,1986,73.1,62.3
Hungary,1993,80.6,71.3
India,1970,13.6,9.5
India,1980,35.3,28.1
India,1988,44.9,39.9
India,1993,40.7,36.5
India,1999,48.2,42.8
India,2000,46.9,42.3
India,2004,53,45.7
India,2006,56.3,48.5
India,2008,54.8,48.1
Indonesia,1973,8.6,7.2
Indonesia,1976,26.3,22.9
Indonesia,1979,31.2,24.6
Indonesia,1985,38.5,36.9
Indonesia,1987,47.7,44
Indonesia,1991,49.7,47.1
Indonesia,1993,53.1,51.2
Indonesia,1994,54.7,52.1
Indonesia,1995,54.2,52.5
Indonesia,1996,54.2,52.6
Indonesia,1997,57.4,54.7
Indonesia,1998,55.4,54.2
Indonesia,1999,55.4,54.3
Indonesia,2000,54.8,53.8
Indonesia,2001,52.5,51.8
Indonesia,2003,60.3,56.6
Indonesia,2005,57.9,57.5
Indonesia,2005,57.2,57.1
Indonesia,2007,61.4,57.4
Iran (Islamic Republic of),1977,36,25.9
Iran (Islamic Republic of),1989,48.9,30.5
Iran (Islamic Republic of),1992,64.6,44.6
Iran (Islamic Republic of),1993,67.8,49.2
Iran (Islamic Republic of),1994,70,51.1
Iran (Islamic Republic of),1995,72.8,53.6
Iran (Islamic Republic of),1996,73.7,56.1
Iran (Islamic Republic of),1997,72.9,56
Iran (Islamic Republic of),2000,73.8,56
Iran (Islamic Republic of),2002,73.3,58.9
Iraq,1974,14.5,12.9
Iraq,1989,13.7,10.4
Iraq,2000,43.5,25.4
Iraq,2006,49.8,32.9
Iraq,2011,51.2,33.2
Ireland,1998,77,67.6
Ireland,2002,75,66
Ireland,2005,64.8,61.4
Israel,1988,68,51.9
Italy,1979,78,32.7
Italy,1996,62.7,40.6
Jamaica,1976,38.3,36.2
Jamaica,1979,54.9,54.2
Jamaica,1983,51.4,48.4
Jamaica,1989,54.6,50.9
Jamaica,1993,62,58.3
Jamaica,1997,65.9,62.6
Jamaica,2003,69,66.2
Japan,1950,19.5,14.2
Japan,1952,26.6,23.5
Japan,1955,34.1,30.2
Japan,1957,39,36.1
Japan,1959,42.7,40.2
Japan,1961,42,39.2
Japan,1963,44.6,43.8
Japan,1965,55.5,54.1
Japan,1967,53,49.1
Japan,1969,52.1,52.1
Japan,1971,52.6,52.6
Japan,1973,59.3,59.3
Japan,1975,60.5,60.5
Japan,1977,60.4,60.4
Japan,1979,62.2,62.2
Japan,1984,57.3,57.3
Japan,1986,62.8,62.7
Japan,1987,64.5,56.6
Japan,1988,56.3,51.7
Japan,1990,57.9,52.5
Japan,1992,64,57
Japan,1994,58.6,52.8
Japan,1996,56.6,50.6
Japan,1997,60.4,50.7
Japan,1998,54.1,48
Japan,2000,55.9,48.3
Japan,2004,52,44.4
Japan,2005,54.3,44.4
Jordan,1972,26.1,17.6
Jordan,1976,25.2,17.4
Jordan,1990,40,26.9
Jordan,1997,52.6,37.7
Jordan,2002,55.8,38.6
Jordan,2007,57.1,40.5
Jordan,2009,59.3,40.5
Kazakhstan,1995,59.1,46.1
Kazakhstan,1999,66.1,52.7
Kazakhstan,2006,50.7,48.7
Kenya,1978,7,4.4
Kenya,1984,17,9.7
Kenya,1989,26.9,17.9
Kenya,1993,32.7,27.3
Kenya,1998,39,31.5
Kenya,2003,39.3,31.5
Kenya,2009,45.5,38.9
Kiribati,2000,36.1,31.1
Kuwait,1985,39,37.3
Kuwait,1987,34.6,31.7
Kuwait,1994,49.8,47.4
Kuwait,1996,50.2,40.9
Kuwait,1999,52,39.3
Kyrgyzstan,1997,59.5,48.9
Kyrgyzstan,2006,47.8,45.5
Lao People's Democratic Republic,1993,18.6,15.1
Lao People's Democratic Republic,1995,20,..
Lao People's Democratic Republic,2000,32.2,28.9
Lao People's Democratic Republic,2005,38.4,35
Latvia,1995,67.8,55.5
Lebanon,1971,53,23
Lebanon,1984,68.8,30.7
Lebanon,1996,61.1,37.2
Lebanon,2000,62.7,40.4
Lebanon,2004,58,34
Lesotho,1977,7.2,3.4
Lesotho,1992,23.2,18.9
Lesotho,1995,29.1,26.8
Lesotho,2000,30.4,29.4
Lesotho,2001,40.6,36.1
Lesotho,2002,38,33.9
Lesotho,2005,37.3,35.2
Lesotho,2010,47,45.6
Liberia,1986,6.4,5.5
Liberia,2007,11.4,10.3
Libya,1995,45.2,25.7
Lithuania,1995,50.7,33.2
Madagascar,1992,16.7,5.1
Madagascar,1997,19.4,9.7
Madagascar,1999,25,12.9
Madagascar,2000,18.8,11.8
Madagascar,2004,27.1,16.7
Madagascar,2009,39.9,28.2
Malawi,1984,6.9,3.2
Malawi,1992,13,7.4
Malawi,1996,21.9,14.4
Malawi,2000,30.6,25.7
Malawi,2004,32.5,28.1
Malawi,2006,41,38.4
Malawi,2010,46.1,42.2
Malaysia,1967,8.7,6.2
Malaysia,1974,33,23.7
Malaysia,1984,51.4,29.8
Malaysia,1988,48.3,31.4
Malaysia,1994,55.1,30.4
Malaysia,2004,49,32.3
Maldives,1991,29,19
Maldives,1999,42,33
Maldives,2004,39,34
Maldives,2009,34.7,27
Mali,1987,4.7,1.3
Mali,1996,6.7,4.5
Mali,2001,8.1,5.7
Mali,2006,8.2,6.3
Malta,1971,87,16
Malta,1993,85.8,46
Marshall Islands,1970,22.7,18.1
Marshall Islands,1985,27.2,19.4
Marshall Islands,2007,44.6,42.4
Martinique,1976,35.5,27.3
Mauritania,1981,0.8,0.3
Mauritania,1992,4.1,1.2
