Country or Area,Year,Value
Afghanistan,2005,93.1
Afghanistan,2002,94.2
Afghanistan,2000,93
Afghanistan,1995,92.9
Afghanistan,1990,92.8
Afghanistan,1985,92.7
Albania,2005,100.7
Albania,2004,100.7
Albania,2003,100.6
Albania,2002,100.6
Albania,2001,100.5
Albania,2000,101
Albania,1995,98.3
Albania,1991,97.1
Albania,1990,94.5
Albania,1990,95
Albania,1989,94.2
Albania,1989,94.3
Albania,1988,94.2
Albania,1987,94.2
Albania,1986,94.2
Albania,1985,93.8
Albania,1985,93.9
Algeria,2005,98.1
Algeria,2003,97.9
Algeria,2002,97.9
Algeria,2001,97.9
Algeria,2000,98.1
Algeria,2000,98.2
Algeria,1999,98
Algeria,1998,98
Algeria,1998,97.3
Algeria,1997,97.3
Algeria,1996,97.3
Algeria,1995,97.3
Algeria,1995,98.3
Algeria,1990,98.5
Algeria,1985,98.9
American Samoa,2000,95.8
American Samoa,1990,94.7
Andorra,2003,92.6
Andorra,2002,93
Andorra,2001,92.4
Andorra,2000,92.4
Andorra,2000,92.4
Andorra,1999,91.9
Andorra,1998,91.3
Andorra,1997,95.1
Angola,2005,102.9
Angola,2000,103
Angola,1995,103
Angola,1990,103
Angola,1985,103.2
Anguilla,2001,103.1
Anguilla,2001,102.8
Anguilla,1992,100.3
Antigua and Barbuda,2004,112.9
Antigua and Barbuda,2003,112.9
Antigua and Barbuda,2002,112.9
Antigua and Barbuda,2001,109.2
Antigua and Barbuda,2001,112.9
Antigua and Barbuda,2000,107.4
Antigua and Barbuda,1996,107.4
Antigua and Barbuda,1995,107.4
Antigua and Barbuda,1994,107.4
Antigua and Barbuda,1993,107.4
Antigua and Barbuda,1992,107.4
Antigua and Barbuda,1991,107.4
Argentina,2005,104.5
Argentina,2004,104.2
Argentina,2003,104.2
Argentina,2002,104.2
Argentina,2001,105.3
Argentina,2001,104.1
Argentina,2000,104.1
Argentina,2000,104.3
Argentina,1999,104.1
Argentina,1998,104
Argentina,1997,103.9
Argentina,1996,103.9
Argentina,1995,103.8
Argentina,1995,103.9
Argentina,1994,103.8
Argentina,1993,103.8
Argentina,1992,103.7
Argentina,1991,104.6
Argentina,1991,103.7
Argentina,1990,103.7
Argentina,1990,103.7
Argentina,1989,103.6
Argentina,1988,103.5
Argentina,1987,103.4
Argentina,1986,103.3
Argentina,1985,103.2
Argentina,1985,103.2
Armenia,2005,114.5
Armenia,2004,107.5
Armenia,2003,107.8
Armenia,2002,108.1
Armenia,2001,113.4
Armenia,2001,108.3
Armenia,2000,112.6
Armenia,1995,110.7
Armenia,1990,106.2
Armenia,1990,106.2
Armenia,1989,102.2
Armenia,1989,104.9
Armenia,1988,103.8
Armenia,1985,104.5
Aruba,2005,108.6
Aruba,2004,109.3
Aruba,2003,109.1
Aruba,2002,109
Aruba,2001,108.6
Aruba,2000,108.4
Aruba,2000,107.8
Aruba,2000,107.7
Aruba,1999,106.8
Aruba,1998,105.6
Aruba,1997,104.6
Aruba,1996,104
Aruba,1995,103.3
Aruba,1995,102.1
Aruba,1994,102.7
Aruba,1993,102.8
Aruba,1992,103.2
Aruba,1991,103.2
Aruba,1990,104
Aruba,1988,106.7
Aruba,1987,106.6
Aruba,1986,106.7
Aruba,1985,106.9
Aruba,1985,104.9
Australia,2005,101.1
Australia,2004,101.3
Australia,2003,101.4
Australia,2002,101.4
Australia,2001,102.5
Australia,2001,101.6
Australia,2000,101.5
Australia,2000,101.5
Australia,1999,101.4
Australia,1998,101.3
Australia,1997,101.2
Australia,1996,101
Australia,1995,100.9
Australia,1995,100.9
Australia,1994,100.9
Australia,1993,100.8
Australia,1992,100.7
Australia,1991,101.5
Australia,1991,100.6
Australia,1990,100.5
Australia,1990,100.3
Australia,1989,100.5
Australia,1988,100.4
Australia,1987,100.3
Australia,1986,100.8
Australia,1986,100.2
Australia,1985,100.3
Australia,1985,100.5
Austria,2005,104.2
Austria,2004,106
Austria,2003,106.1
Austria,2002,106.3
Austria,2001,106.5
Austria,2001,106.5
Austria,2000,106.8
Austria,2000,105.1
Austria,1999,106.9
Austria,1998,107.1
Austria,1997,107.2
Austria,1996,107.2
Austria,1995,107.3
Austria,1995,106.2
Austria,1994,107.4
Austria,1993,107.7
Austria,1992,108
Austria,1991,107.7
Austria,1991,108.4
Austria,1990,108.9
Austria,1990,108.3
Austria,1989,109.4
Austria,1988,109.8
Austria,1987,110.1
Austria,1986,110.4
Austria,1985,110.7
Austria,1985,110.6
Azerbaijan,2005,105.7
Azerbaijan,2004,103.5
Azerbaijan,2003,103.8
Azerbaijan,2002,104
Azerbaijan,2001,104.2
Azerbaijan,2000,104.5
Azerbaijan,2000,104.9
Azerbaijan,1999,104.8
Azerbaijan,1999,104.7
Azerbaijan,1998,103.8
Azerbaijan,1997,102.8
Azerbaijan,1996,103
Azerbaijan,1995,103.4
Azerbaijan,1995,104.2
Azerbaijan,1994,103.7
Azerbaijan,1990,104.4
Azerbaijan,1989,105.1
Azerbaijan,1985,105.4
Bahamas,2005,104.3
Bahamas,2001,105.7
Bahamas,2000,105.5
Bahamas,2000,103.7
Bahamas,1997,101.8
Bahamas,1996,102.1
Bahamas,1995,102.5
Bahamas,1995,102.8
Bahamas,1994,102.8
Bahamas,1993,103.2
Bahamas,1992,104.9
Bahamas,1991,104.5
Bahamas,1990,104.1
Bahamas,1990,104.2
Bahamas,1990,101.7
Bahamas,1985,101.6
Bahrain,2005,74.4
Bahrain,2004,73.9
Bahrain,2003,74
Bahrain,2002,74
Bahrain,2001,74.1
Bahrain,2001,74.3
Bahrain,2000,74.1
Bahrain,2000,73.7
Bahrain,1999,73.9
Bahrain,1998,73.8
Bahrain,1997,73.6
Bahrain,1996,73.4
Bahrain,1995,73.3
Bahrain,1995,71.6
Bahrain,1994,73.1
Bahrain,1993,72.9
Bahrain,1992,72.8
Bahrain,1991,72.6
Bahrain,1991,73
Bahrain,1990,72.9
Bahrain,1990,72.2
Bahrain,1989,73.2
Bahrain,1988,73.5
Bahrain,1987,73.7
Bahrain,1986,74
Bahrain,1985,74.2
Bahrain,1985,69.6
Bangladesh,2005,95.3
Bangladesh,2001,92.7
Bangladesh,2000,95
Bangladesh,1999,94.4
Bangladesh,1998,94.8
Bangladesh,1997,94.5
Bangladesh,1996,94.7
Bangladesh,1995,94.6
Bangladesh,1995,94.7
Bangladesh,1994,94.5
Bangladesh,1991,94.5
Bangladesh,1990,94.2
Bangladesh,1986,94
Bangladesh,1985,94
Bangladesh,1985,94
Barbados,2005,106.6
Barbados,2000,108.5
Barbados,2000,107.1
Barbados,1995,107.5
Barbados,1990,108.4
Barbados,1989,108.4
Barbados,1985,109.2
Barbados,1985,109.5
Belarus,2005,114.5
Belarus,2004,113.7
Belarus,2003,113.5
Belarus,2002,113.3
Belarus,2000,113.5
Belarus,1999,112.9
Belarus,1999,113
Belarus,1998,114.4
Belarus,1997,114.3
Belarus,1996,114.2
Belarus,1995,114.2
Belarus,1995,112.9
Belarus,1994,113.5
Belarus,1993,112.8
Belarus,1992,112.8
Belarus,1990,113.4
Belarus,1989,113.8
Belarus,1985,114.5
Belgium,2005,104.3
Belgium,2004,104.4
Belgium,2003,104.4
Belgium,2002,104.4
Belgium,2001,104.5
Belgium,2001,104.5
Belgium,2000,104.5
Belgium,2000,104.4
Belgium,1999,104.5
Belgium,1998,104.5
Belgium,1997,104.6
Belgium,1996,104.6
Belgium,1995,104.5
Belgium,1995,104.5
Belgium,1994,104.5
Belgium,1993,104.5
Belgium,1992,104.5
Belgium,1991,104.6
Belgium,1991,104.6
Belgium,1990,104.7
Belgium,1990,104.8
Belgium,1989,104.7
Belgium,1988,104.8
Belgium,1987,104.8
Belgium,1986,104.8
Belgium,1985,104.9
Belgium,1985,105.4
Belize,2005,98.2
Belize,2004,98
Belize,2003,97.9
Belize,2002,98.1
Belize,2001,98.1
Belize,2000,98.1
Belize,2000,98.1
Belize,2000,97.6
Belize,1999,98
Belize,1998,101.3
Belize,1997,100.9
Belize,1996,100
Belize,1995,101.4
Belize,1995,97.2
Belize,1994,102.9
Belize,1993,97.1
Belize,1992,97
Belize,1991,97.1
Belize,1991,98
Belize,1990,96.9
Belize,1990,96.7
Belize,1989,97.8
Belize,1988,97.4
Belize,1987,97.4
Belize,1986,97.4
Belize,1985,97.6
Belize,1985,97.2
Benin,2005,98.7
Benin,2002,106.1
Benin,2001,104.6
Benin,2000,104.7
Benin,2000,99.8
Benin,1996,105.5
Benin,1995,105.5
Benin,1995,100.1
Benin,1994,105.7
Benin,1993,105.6
Benin,1992,105.6
Benin,1990,102.2
Benin,1985,103.2
Bermuda,2004,108.8
Bermuda,2003,108.7
Bermuda,2002,108.5
Bermuda,2001,108.4
Bermuda,2000,108.2
Bermuda,2000,105.8
Bermuda,1999,105.9
Bermuda,1998,99.2
Bermuda,1997,105.8
Bermuda,1996,105.7
Bermuda,1995,105.4
Bermuda,1994,105.4
Bermuda,1993,105.4
Bermuda,1992,105.4
Bermuda,1991,106.2
Bermuda,1991,105.2
Bermuda,1990,105.5
Bermuda,1989,105.5
Bermuda,1988,105.5
Bermuda,1987,105.2
Bermuda,1986,105
Bermuda,1985,104.9
Bhutan,2005,90
Bhutan,2001,98
Bhutan,2000,98
Bhutan,2000,97.2
Bhutan,1995,96.6
Bhutan,1990,95
Bhutan,1985,94.1
Bolivia,2005,100.7
Bolivia,2004,100.7
Bolivia,2003,100.8
Bolivia,2002,100.8
Bolivia,2001,100.5
Bolivia,2001,100.9
Bolivia,2000,100.9
Bolivia,2000,101
Bolivia,1999,101
Bolivia,1998,101.1
Bolivia,1997,101.1
Bolivia,1996,101.2
Bolivia,1995,101.3
Bolivia,1995,101.3
Bolivia,1994,101.4
Bolivia,1993,101.5
Bolivia,1992,102.5
Bolivia,1992,101.6
Bolivia,1991,101.7
Bolivia,1990,101.9
Bolivia,1990,101.9
Bolivia,1989,102
Bolivia,1988,102.1
Bolivia,1987,102.2
Bolivia,1986,102.3
Bolivia,1985,102.4
Bolivia,1985,102.4
Bosnia and Herzegovina,2005,105.6
Bosnia and Herzegovina,2004,104.1
Bosnia and Herzegovina,2003,104.1
Bosnia and Herzegovina,2000,104.6
Bosnia and Herzegovina,1995,102.2
Bosnia and Herzegovina,1991,100.4
Bosnia and Herzegovina,1991,100.5
Bosnia and Herzegovina,1990,98.8
Bosnia and Herzegovina,1990,102.4
Bosnia and Herzegovina,1985,102.7
Botswana,2005,101.6
Botswana,2004,106.7
Botswana,2001,106.6
Botswana,2000,106.7
Botswana,2000,102.5
Botswana,1999,106.8
Botswana,1998,107.4
Botswana,1997,107.4
Botswana,1996,107.7
Botswana,1995,107.9
Botswana,1995,102.8
Botswana,1994,108.1
Botswana,1993,108.6
Botswana,1992,109
Botswana,1991,109.1
Botswana,1991,109.1
Botswana,1990,103.5
Botswana,1987,109.6
Botswana,1986,110.1
Botswana,1985,104.4
Brazil,2005,102.7
Brazil,2004,103.4
Brazil,2003,103.3
Brazil,2002,103.2
Brazil,2001,103.1
Brazil,2000,103.2
Brazil,2000,103.1
Brazil,2000,102.3
Brazil,1999,103
Brazil,1998,102.9
Brazil,1997,102.8
Brazil,1996,102.8
Brazil,1996,102.7
Brazil,1995,102.6
Brazil,1995,101.8
Brazil,1991,102.6
Brazil,1990,101.3
Brazil,1985,100.8
British Virgin Islands,2001,94.3
British Virgin Islands,1988,97.3
British Virgin Islands,1987,97
British Virgin Islands,1986,96.8
British Virgin Islands,1985,96.3
Brunei,2005,93
Brunei,2004,89.9
Brunei,2003,91.6
Brunei,2002,90.6
Brunei,2001,97
Brunei,2001,97
Brunei,2000,96.3
Brunei,2000,92
Brunei,1999,95.4
Brunei,1998,94.7
Brunei,1997,93.9
Brunei,1995,90.8
Brunei,1992,89.5
Brunei,1991,89.3
Brunei,1990,89.1
Brunei,1985,89.1
Bulgaria,2005,106.1
Bulgaria,2004,105.9
Bulgaria,2003,105.7
Bulgaria,2002,105.5
Bulgaria,2001,105.3
Bulgaria,2001,105.4
Bulgaria,2000,105.3
Bulgaria,2000,105.2
Bulgaria,1999,105.1
Bulgaria,1998,104.9
Bulgaria,1997,104.7
Bulgaria,1995,104.2
Bulgaria,1995,104.2
Bulgaria,1994,103.9
Bulgaria,1993,103.6
Bulgaria,1992,103.4
Bulgaria,1991,102.9
Bulgaria,1990,102.7
Bulgaria,1990,102.9
Bulgaria,1989,102.5
Bulgaria,1988,102.3
Bulgaria,1987,102.2
Bulgaria,1986,101.2
Bulgaria,1985,102
