Country or Area,Subgroup,Year,Value
Algeria,Female,2005,18
Algeria,Male,2005,21
Andorra,Female,2001,16
Andorra,Male,2001,16
Angola,Female,2004,18
Angola,Male,2004,18
Antigua and Barbuda,Female,1997,18
Antigua and Barbuda,Male,1997,18
Argentina,Female,2002,16
Argentina,Male,2002,18
Armenia,Female,2002,17
Armenia,Male,2002,17
Australia,Female,2006,18
Australia,Male,2006,18
Austria,Female,2003,16
Austria,Male,2003,16
Azerbaijan,Female,2007,17
Azerbaijan,Male,2007,18
Bahamas,Female,2003,18
Bahamas,Male,2003,18
Bangladesh,Female,2004,18
Bangladesh,Male,2004,21
Barbados,Female,2002,16
Barbados,Male,2002,16
Belarus,Female,2004,18
Belarus,Male,2004,18
Belgium,Female,2003,18
Belgium,Male,2003,18
Belize,Female,1999,18
Belize,Male,1999,18
Benin,Female,2005,15
Benin,Male,2005,18
Bhutan,Female,2004,18
Bhutan,Male,2004,18
Bolivia,Female,1995,14
Bolivia,Male,1995,16
Bosnia and Herzegovina,Female,2006,18
Bosnia and Herzegovina,Male,2006,18
Botswana,Female,2003,21
Botswana,Male,2003,21
Brazil,Female,2003,21
Brazil,Male,2003,21
Bulgaria,Female,2003,18
Bulgaria,Male,2003,18
Burkina Faso,Female,2005,17
Burkina Faso,Male,2005,20
Burundi,Female,2001,18
Burundi,Male,2001,21
Cambodia,Female,2006,18
Cambodia,Male,2006,20
Cameroon,Female,2000,15
Cameroon,Male,2000,18
Canada,Female,2003,18
Canada,Male,2003,18
Cape Verde,Female,2006,18
Cape Verde,Male,2006,18
Central African Republic,Female,2003,18
Central African Republic,Male,2003,22
Chile,Female,2003,18
Chile,Male,2003,18
China,Female,2003,20
China,Male,2003,22
Colombia,Female,2007,18
Colombia,Male,2007,18
Congo,Female,2003,18
Congo,Male,2003,21
Congo Dem. Rep.,Female,2006,15
Congo Dem. Rep.,Male,2006,18
Cook Islands,Female,2007,21
Cook Islands,Male,2007,21
Costa Rica,Female,2003,15
Costa Rica,Male,2003,15
C̫te d�۪Ivoire,Female,2003,18
C̫te d�۪Ivoire,Male,2003,21
Croatia,Female,2005,18
Croatia,Male,2005,18
Cuba,Female,2006,18
Cuba,Male,2006,18
Cyprus,Female,2003,18
Cyprus,Male,2003,18
Czech Republic,Female,2003,18
Czech Republic,Male,2003,18
Denmark,Female,2006,18
Denmark,Male,2006,18
Dominica,Female,2003,16
Dominica,Male,2003,16
Dominican Republic,Female,2003,18
Dominican Republic,Male,2003,18
Ecuador,Female,2003,18
Ecuador,Male,2003,18
Egypt,Female,2003,16
Egypt,Male,2003,18
