Afghanistan,1973,x,x,x,x,x,x,50.5,7.7,18.1,26,x,x,x,x
Afghanistan,1974,x,x,x,x,1.6,1.6,x,x,x,x,x,x,x,x
Afghanistan,1979,x,x,x,x,x,x,53.7,9.2,15.4,25.3,x,x,x,x
Afghanistan,2000,x,x,12.6,43.1,3.6,4.9,x,x,x,x,x,x,x,x
Afghanistan,2003,x,x,x,x,8.7,10.3,x,x,x,x,x,x,x,x
Afghanistan,2005,x,x,x,x,12.5,13.6,x,x,x,x,x,x,x,x
Afghanistan,2006,x,x,x,x,15.5,18.6,x,x,x,x,x,x,x,x
Afghanistan,2008,x,x,x,x,15.2,22.8,40,14,15,25.3,x,x,x,x
Afghanistan,2010,x,x,x,x,16.3,21.8,17.3,x,21.5,x,x,x,x,x
Aland Islands,1991,x,x,x,x,x,x,x,x,x,x,x,x,x,8
Aland Islands,1992,x,x,x,x,x,x,x,x,x,x,x,x,x,9
Aland Islands,1993,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,1994,x,x,x,x,x,x,x,x,x,x,x,x,x,7
Aland Islands,1995,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,1996,x,x,x,x,x,x,x,x,x,x,x,x,x,0
Aland Islands,1997,x,x,x,x,x,x,x,x,x,x,x,x,x,5
Aland Islands,1998,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,1999,x,x,x,x,x,x,x,x,x,x,x,x,x,4
Aland Islands,2000,x,x,x,x,x,x,x,x,x,x,x,x,x,5
Aland Islands,2001,x,x,x,x,x,x,x,x,x,x,x,x,x,4
Aland Islands,2002,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,2003,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,2004,x,x,x,x,x,x,x,x,x,x,x,x,x,3
Aland Islands,2005,x,x,x,x,x,x,x,x,x,x,x,x,x,5
Albania,1985,x,x,x,x,x,x,x,x,x,x,x,x,x,2453
Albania,1986,x,x,x,x,x,x,x,x,x,x,x,x,x,2409
Albania,1987,x,x,x,x,x,x,x,x,x,x,x,x,x,2371
Albania,1988,x,x,x,x,x,x,x,x,x,x,x,x,x,2406
Albania,1989,x,x,x,x,x,x,8.3,1,22.9,27,x,x,x,2404
Albania,1990,x,x,x,x,x,x,x,x,x,x,x,x,x,2373
Albania,1991,x,x,x,x,x,x,x,x,x,x,x,x,x,2264
Albania,1992,x,x,x,x,x,x,x,x,x,x,x,x,x,2474
Albania,1993,x,x,x,x,x,x,x,x,x,x,x,x,x,2573.74
Albania,1994,x,x,x,x,x,x,x,x,x,x,x,x,x,3154.222
Albania,1995,x,x,x,x,x,x,x,x,x,x,x,x,x,3438.263
Albania,1996,x,x,x,x,x,x,x,x,x,x,x,x,x,3479.422
Albania,1997,x,x,x,x,x,x,x,x,x,x,x,x,x,3005.453
Albania,1998,x,x,x,x,x,x,x,x,x,x,x,x,x,2768
Albania,1999,x,x,x,x,x,x,x,x,x,x,x,x,x,2536
Albania,2000,x,x,x,x,15.3,57.5,x,x,x,x,x,x,x,2502
Albania,2001,x,x,98.3,99.2,x,x,9.6,0.9,23.3,27.3,x,x,x,1209
Albania,2002,x,x,x,x,8,75.1,9.5,0,23.1,26.9,x,x,x,x
Albania,2003,x,x,x,x,x,x,x,x,x,x,x,x,x,2534
Albania,2004,x,x,x,x,x,x,x,x,x,x,x,x,x,2249
Albania,2005,x,x,x,x,22.4,60.1,x,x,x,x,x,x,x,2513
Albania,2008,x,x,x,x,x,x,7.7,0.9,24.6,28.8,x,x,x,x
Albania,2009,x,x,x,x,10.2,69.3,x,x,x,x,x,x,x,x
Albania,2011,x,x,x,x,x,x,7.2,2,25.1,29.2,x,x,x,x
Algeria,1966,x,x,x,x,x,x,46.5,4.7,18.4,23.9,x,x,x,x
Algeria,1977,x,x,x,x,x,x,23.6,2.5,21,25.3,x,x,x,x
Algeria,1985,18,21,x,x,x,x,x,x,x,x,x,x,x,51476
Algeria,1986,18,21,x,x,x,x,x,x,x,x,x,x,x,41659
Algeria,1987,x,x,35.8,63.4,31.3,35.8,9.6,0.8,23.7,27.7,x,x,x,x
Algeria,1992,x,x,x,x,43.2,50.9,3.5,x,25.9,x,x,x,x,x
Algeria,1995,x,x,x,x,49.4,56.9,x,x,x,x,x,x,x,x
Algeria,2000,x,x,x,x,50.1,64,x,x,x,x,x,x,x,x
Algeria,2002,x,x,60.1,79.6,51.8,57,1.8,0.2,29.5,33,x,x,x,x
Algeria,2005,18,21,x,x,x,x,x,x,x,x,x,x,x,x
Algeria,2006,x,x,x,x,52,61.4,x,x,x,x,x,x,x,x
American Samoa,1974,x,x,x,x,x,x,9,2.2,23.3,26.2,x,x,x,x
American Samoa,1980,x,x,x,x,x,x,5.9,1.6,24.1,26.9,x,x,x,x
American Samoa,1988,x,x,x,x,x,x,x,x,x,x,x,x,x,117
American Samoa,1989,x,x,x,x,x,x,x,x,x,x,x,x,x,120
American Samoa,1990,x,x,x,x,x,x,4.7,1.6,25.7,28.3,x,x,x,138
American Samoa,1991,x,x,x,x,x,x,x,x,x,x,x,x,x,139
American Samoa,1992,x,x,x,x,x,x,x,x,x,x,x,x,x,117
American Samoa,1993,x,x,x,x,x,x,x,x,x,x,x,x,x,139
American Samoa,1994,x,x,x,x,x,x,x,x,x,x,x,x,x,142
American Samoa,1995,x,x,x,x,x,x,x,x,x,x,x,x,x,125
American Samoa,1996,x,x,x,x,x,x,x,x,x,x,x,x,x,116
American Samoa,1997,x,x,x,x,x,x,x,x,x,x,x,x,x,124
American Samoa,1998,x,x,x,x,x,x,x,x,x,x,x,x,x,128
American Samoa,1999,x,x,x,x,x,x,x,x,x,x,x,x,x,142
American Samoa,2000,x,x,x,x,x,x,21.4,x,25.7,x,x,x,x,142
American Samoa,2001,x,x,x,x,x,x,x,x,x,x,x,x,x,125
American Samoa,2002,x,x,x,x,x,x,x,x,x,x,x,x,x,125
American Samoa,2003,x,x,x,x,x,x,x,x,x,x,x,x,x,111
American Samoa,2004,x,x,x,x,x,x,x,x,x,x,x,x,x,130
American Samoa,2005,x,x,x,x,x,x,x,x,x,x,x,x,x,101
Andorra,2001,16,16,x,x,x,x,x,x,x,x,x,x,x,x
Andorra,2002,16,16,x,x,x,x,x,x,x,x,x,x,x,12
Andorra,2003,16,16,x,x,x,x,x,x,x,x,x,x,x,13
Andorra,2004,16,16,x,x,x,x,x,x,x,x,x,x,x,9
Angola,1970,x,x,x,x,x,x,35.7,7.6,19.4,24.5,x,x,x,x
Angola,1996,x,x,x,x,4.1,8.1,x,x,x,x,x,x,x,x
Angola,2001,x,x,54.2,82.9,4.5,6.2,x,x,x,x,x,x,x,x
Angola,2004,18,18,x,x,x,x,x,x,x,x,x,x,x,x
Anguilla,1988,x,x,x,x,x,x,x,x,x,x,x,x,x,34
Anguilla,1989,x,x,x,x,x,x,x,x,x,x,x,x,x,33
Anguilla,1990,x,x,x,x,x,x,x,x,x,x,x,x,x,22
Anguilla,1991,x,x,x,x,x,x,x,x,x,x,x,x,x,30
Anguilla,1992,x,x,x,x,x,x,1.6,0,29.8,32.1,x,x,x,19
Anguilla,1993,x,x,x,x,x,x,x,x,x,x,x,x,x,25
Anguilla,1994,x,x,x,x,x,x,x,x,x,x,x,x,x,23
Anguilla,1995,x,x,x,x,x,x,x,x,x,x,x,x,x,18
Anguilla,1996,x,x,x,x,x,x,x,x,x,x,x,x,x,23
Anguilla,1997,x,x,x,x,x,x,x,x,x,x,x,x,x,24
Anguilla,1998,x,x,x,x,x,x,x,x,x,x,x,x,x,27
Anguilla,1999,x,x,x,x,x,x,x,x,x,x,x,x,x,29
Anguilla,2000,x,x,x,x,x,x,x,x,x,x,x,x,x,37
Anguilla,2001,x,x,x,x,x,x,1.5,0,28.6,31.6,x,x,x,30
Anguilla,2002,x,x,x,x,x,x,x,x,x,x,x,x,x,23
Anguilla,2003,x,x,x,x,40.8,43,x,x,x,x,x,x,x,25
Anguilla,2004,x,x,x,x,x,x,x,x,x,x,x,x,x,26
Anguilla,2005,x,x,x,x,x,x,x,x,x,x,x,x,x,24
Antigua and Barbuda,1960,x,x,x,x,x,x,1.4,0.2,27.3,32.3,x,x,x,x
Antigua and Barbuda,1981,x,x,x,x,44.6,48.2,x,x,x,x,x,x,x,x
Antigua and Barbuda,1985,18,18,x,x,x,x,x,x,x,x,x,x,x,289
Antigua and Barbuda,1986,18,18,x,x,x,x,x,x,x,x,x,x,x,245
