Country or Area,Year,Area,Sex,Age of mother,Record Type,Reliability,Source Year,Value,Value Footnotes
Aland Islands,2005,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,268,
Aland Islands,2005,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,5,
Aland Islands,2005,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,37,
Aland Islands,2005,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,74,
Aland Islands,2005,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,94,
Aland Islands,2005,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,44,
Aland Islands,2005,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,14,
Aland Islands,2004,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,281,
Aland Islands,2004,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,3,
Aland Islands,2004,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,32,
Aland Islands,2004,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,66,
Aland Islands,2004,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,99,
Aland Islands,2004,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,64,
Aland Islands,2004,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,17,
Aland Islands,2003,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,262,
Aland Islands,2003,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,3,
Aland Islands,2003,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,30,
Aland Islands,2003,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,74,
Aland Islands,2003,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,101,
Aland Islands,2003,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,50,
Aland Islands,2003,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,4,
Aland Islands,2002,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,269,
Aland Islands,2002,Total,Both Sexes,0 - 19,Data tabulated by year of occurrence,"Final figure, complete",2008,3,
Aland Islands,2002,Total,Both Sexes,20 - 24,Data tabulated by year of occurrence,"Final figure, complete",2008,31,
Aland Islands,2002,Total,Both Sexes,25 - 29,Data tabulated by year of occurrence,"Final figure, complete",2008,78,
Aland Islands,2002,Total,Both Sexes,30 - 34,Data tabulated by year of occurrence,"Final figure, complete",2008,90,
Aland Islands,2002,Total,Both Sexes,35 - 39,Data tabulated by year of occurrence,"Final figure, complete",2008,60,
Aland Islands,2002,Total,Both Sexes,40 +,Data tabulated by year of occurrence,"Final figure, complete",2008,7,
Aland Islands,2001,Total,Both Sexes,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,283,
