Afghanistan,1973,16,18,x,x,1.1916666666666667,1.038888888888889,50.5,7.7,18.1,26,x,x,x
Afghanistan,1974,16,18,x,x,1.6,1.6,51.03333333333333,7.95,17.650000000000002,25.883333333333333,x,x,x
Afghanistan,1979,16,18,11.14279802,45.79601619,1.9846153846153847,2.2346153846153847,53.7,9.2,15.4,25.3,27.985714285714288,92.58000000000001,x
Afghanistan,1985,16,18,11.559141442857143,45.02572585,2.4461538461538463,2.996153846153846,50.865517241379315,10.193103448275862,15.317241379310346,25.3,28.3,92.7,x
Afghanistan,1986,16,18,11.628532013333334,44.89734412666667,2.523076923076923,3.1230769230769235,50.393103448275866,10.358620689655172,15.303448275862069,25.3,28.3,92.72,x
Afghanistan,1987,16,18,11.697922583809524,44.76896240333333,2.6,3.2500000000000004,49.92068965517242,10.524137931034483,15.289655172413793,25.3,28.2,92.74,x
Afghanistan,1988,16,18,11.767313154285715,44.64058068,2.676923076923077,3.3769230769230774,49.44827586206897,10.689655172413794,15.275862068965518,25.3,28.2,92.76,x
Afghanistan,1989,16,18,11.836703724761906,44.512198956666666,2.753846153846154,3.5038461538461543,48.97586206896552,10.855172413793102,15.262068965517242,25.3,28.2,92.78,x
Afghanistan,1990,16,18,11.906094295238095,44.38381723333333,2.830769230769231,3.630769230769231,48.50344827586207,11.020689655172413,15.248275862068965,25.3,28.2,92.8,x
Afghanistan,1991,16,18,11.975484865714286,44.255435510000005,2.907692307692308,3.757692307692308,48.03103448275862,11.186206896551724,15.23448275862069,25.3,28.2,92.82,x
Afghanistan,1992,16,18,12.044875436190477,44.12705378666667,2.9846153846153847,3.884615384615385,47.55862068965517,11.351724137931035,15.220689655172414,25.3,28.2,92.84,x
Afghanistan,1993,16,18,12.114266006666666,43.99867206333334,3.0615384615384618,4.011538461538462,47.08620689655172,11.517241379310345,15.206896551724139,25.3,28.1,92.86,x
Afghanistan,1994,16,18,12.183656577142857,43.870290340000004,3.138461538461539,4.138461538461539,46.61379310344827,11.682758620689654,15.193103448275862,25.3,28.1,92.88000000000001,x
Afghanistan,1995,16,18,12.253047147619048,43.74190861666667,3.2153846153846155,4.265384615384615,46.14137931034483,11.848275862068965,15.179310344827586,25.3,28,92.9,x
Afghanistan,1996,16,18,12.322437718095237,43.613526893333336,3.2923076923076926,4.392307692307693,45.66896551724138,12.013793103448275,15.16551724137931,25.3,28.1,92.92,x
Afghanistan,1997,16,18,12.391828288571428,43.48514517,3.3692307692307697,4.51923076923077,45.19655172413793,12.179310344827586,15.151724137931035,25.3,28.1,92.94,x
Afghanistan,1998,16,18,12.46121885904762,43.35676344666667,3.4461538461538463,4.646153846153847,44.724137931034484,12.344827586206897,15.137931034482758,25.3,28.2,92.96000000000001,x
Afghanistan,1999,16,18,12.530609429523809,43.228381723333335,3.523076923076923,4.773076923076924,44.251724137931035,12.510344827586206,15.124137931034483,25.3,28.2,92.98,x
Afghanistan,2000,16,18,12.6,43.1,3.6,4.9,43.779310344827586,12.675862068965518,15.110344827586207,25.3,28.2,93,x
Afghanistan,2001,16,18,12.66939057047619,42.97161827666667,5.3,6.7,43.30689655172414,12.841379310344827,15.096551724137932,25.3,28.4,93.6,x
Afghanistan,2002,16,18,12.73878114095238,42.843236553333334,7.0,8.5,42.83448275862069,13.006896551724138,15.082758620689654,25.3,28.6,94.2,x
Afghanistan,2003,16,18,12.808171711428571,42.71485483,8.7,10.3,42.36206896551724,13.172413793103448,15.068965517241379,25.3,28.8,93.83333333333333,x
Afghanistan,2004,16,18,12.877562281904762,42.586473106666666,10.6,11.95,41.889655172413796,13.337931034482757,15.055172413793104,25.3,28.8,93.46666666666667,x
Afghanistan,2005,16,18,12.946952852380951,42.45809138333333,12.5,13.6,41.41724137931035,13.50344827586207,15.041379310344828,25.3,29,93.1,x
Afghanistan,2006,16,18,13.016343422857142,42.32970966,15.5,18.6,40.9448275862069,13.668965517241379,15.027586206896551,25.3,29.4,93.11999999999999,x
Afghanistan,2008,16,18,13.155124563809522,42.07294621333333,15.2,22.8,40,14,15,25.3,29.504761904761903,93.16,x
Afghanistan,2010,16,18,13.293905704761903,41.816182766666664,16.3,21.8,17.3,14.36,21.5,25.26,29.609523809523807,93.19999999999999,x
Algeria,1966,18,21,x,x,x,x,46.5,4.7,18.4,23.9,x,x,x
Algeria,1977,18,21,x,x,x,x,23.6,2.5,21,25.3,x,x,x
Algeria,1985,18,21,72.49017492894737,85.37204888315789,29.121052631578948,33.10526315789473,12.4,1.1400000000000001,23.16,27.22,20.5,98.9,51476
Algeria,1986,18,21,73.40872090947369,85.80106940157894,30.210526315789473,34.45263157894737,11.0,0.9700000000000002,23.43,27.46,20.9,98.82000000000001,41659
Algeria,1987,18,21,74.32726689,86.23008992,31.3,35.8,9.6,0.8,23.7,27.7,21.3,98.74000000000001,x
Algeria,1988,18,21,75.114381918,86.751920082,33.68,38.82,8.379999999999999,0.76,24.14,28.05333333333333,21.7,98.66,x
Algeria,1989,18,21,75.90149694600001,87.273750244,36.06,41.839999999999996,7.16,0.72,24.58,28.406666666666666,22.2,98.58,x
Algeria,1990,18,21,76.688611974,87.795580406,38.44,44.86,5.9399999999999995,0.68,25.02,28.759999999999998,22.6,98.5,x
Algeria,1991,18,21,77.475727002,88.317410568,40.82,47.879999999999995,4.72,0.64,25.459999999999997,29.113333333333333,23.1,98.46,x
Algeria,1992,18,21,78.26284203,88.83924073,43.2,50.9,3.5,0.6,25.9,29.466666666666665,23.5,98.42,x
Algeria,1993,18,21,79.049957058,89.361070892,45.266666666666666,52.9,3.33,0.56,26.259999999999998,29.82,24,98.38,x
Algeria,1994,18,21,79.837072086,89.882901054,47.333333333333336,54.9,3.16,0.52,26.619999999999997,30.173333333333332,24.5,98.34,x
Algeria,1995,18,21,80.624187114,90.404731216,49.4,56.9,2.99,0.48,26.98,30.526666666666667,24.9,98.3,x
Algeria,1996,18,21,81.411302142,90.926561378,49.54,58.32,2.8200000000000003,0.43999999999999995,27.34,30.88,25.4,97.3,x
